what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1303311914416
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1303311914429
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1303311914455
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1303311914460
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1303311914461
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1303311914486
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1303311914497
os,sysinfo,,,"linux",1303311914528
arch,sysinfo,,,"x86",1303311914528
ws,sysinfo,,,"gtk",1303311914528
locale,sysinfo,,,"en_GB",1303311914528
processors,sysinfo,,,"1",1303311914533
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1303311914535
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1303311914535
java.specification.name,sysinfo,,,"Java Platform API Specification",1303311914535
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303311914535
java.specification.version,sysinfo,,,"1.6",1303311914535
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1303311914535
java.version,sysinfo,,,"1.6.0_24",1303311914535
java.vm.info,sysinfo,,,"mixed mode, sharing",1303311914535
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1303311914535
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1303311914535
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303311914535
java.vm.specification.version,sysinfo,,,"1.0",1303311914535
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1303311914535
java.vm.version,sysinfo,,,"19.1-b02",1303311914535
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1303311914614
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1303311915021
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1303311915213
